word,1,2,3,4,5,6,7
в,741.0,742.0,820.0,836.0,820.0,775.0,825.0
на,824.0,780.0,707.0,670.0,705.0,763.0,702.0
и,521.0,563.0,475.0,465.0,445.0,480.0,421.0
ли,473.0,358.0,443.0,449.0,454.0,419.0,311.0
есть,448.0,450.0,442.0,394.0,406.0,339.0,313.0
кто,436.0,504.0,372.0,381.0,373.0,344.0,352.0
как,332.0,330.0,375.0,359.0,419.0,434.0,413.0
по,375.0,345.0,299.0,302.0,358.0,365.0,330.0
с,375.0,388.0,352.0,327.0,304.0,302.0,292.0
у,259.0,257.0,255.0,224.0,259.0,258.0,283.0
привет,339.0,295.0,263.0,255.0,194.0,170.0,116.0
не,164.0,182.0,190.0,211.0,231.0,212.0,265.0
всем,270.0,244.0,213.0,207.0,150.0,129.0,103.0
можно,185.0,144.0,202.0,199.0,201.0,190.0,171.0
что,160.0,165.0,207.0,163.0,196.0,170.0,223.0
если,188.0,112.0,178.0,173.0,174.0,168.0,144.0
подскажите,194.0,109.0,143.0,158.0,133.0,152.0,138.0
или,124.0,138.0,144.0,149.0,147.0,136.0,165.0
пожалуйста,170.0,114.0,144.0,141.0,134.0,159.0,132.0
может,134.0,154.0,100.0,140.0,141.0,107.0,82.0
ребят,60.0,83.0,80.0,110.0,116.0,148.0,207.0
из,116.0,144.0,117.0,92.0,113.0,70.0,86.0
за,79.0,85.0,93.0,125.0,101.0,92.0,113.0
а,73.0,85.0,95.0,110.0,126.0,94.0,100.0
для,97.0,92.0,91.0,85.0,84.0,110.0,101.0
принимает,23.0,42.0,56.0,51.0,134.0,168.0,165.0
к,67.0,78.0,98.0,97.0,90.0,93.0,88.0
ктонибудь,69.0,70.0,76.0,117.0,93.0,79.0,79.0
я,58.0,85.0,87.0,70.0,69.0,68.0,112.0
кого,82.0,60.0,62.0,58.0,81.0,73.0,99.0
когда,49.0,42.0,51.0,79.0,76.0,99.0,118.0
где,51.0,51.0,64.0,60.0,68.0,99.0,105.0
экзамен,45.0,56.0,59.0,46.0,92.0,93.0,107.0
здравствуйте,86.0,86.0,89.0,75.0,66.0,56.0,35.0
будет,56.0,52.0,63.0,75.0,82.0,71.0,81.0
знает,55.0,52.0,45.0,72.0,71.0,75.0,91.0
о,47.0,66.0,63.0,74.0,63.0,56.0,71.0
день,64.0,55.0,62.0,80.0,71.0,48.0,40.0
ребята,43.0,60.0,45.0,47.0,52.0,81.0,91.0
расскажите,62.0,61.0,61.0,55.0,57.0,75.0,38.0
анон,109.0,74.0,74.0,65.0,53.0,31.0,0.0
про,70.0,49.0,61.0,50.0,58.0,73.0,41.0
курс,49.0,67.0,64.0,45.0,46.0,59.0,64.0
вопрос,53.0,55.0,63.0,65.0,49.0,54.0,51.0
добрый,69.0,58.0,59.0,79.0,67.0,28.0,24.0
тут,53.0,62.0,52.0,60.0,64.0,52.0,35.0
сколько,61.0,32.0,55.0,53.0,52.0,70.0,44.0
какие,61.0,45.0,64.0,44.0,43.0,58.0,42.0
после,52.0,51.0,55.0,52.0,58.0,59.0,28.0
вам,42.0,39.0,52.0,69.0,64.0,50.0,25.0
поступать,53.0,58.0,53.0,54.0,45.0,48.0,24.0
то,57.0,36.0,51.0,46.0,52.0,42.0,50.0
это,50.0,42.0,44.0,42.0,32.0,49.0,67.0
учится,61.0,63.0,38.0,42.0,43.0,39.0,31.0
вузе,33.0,22.0,65.0,62.0,58.0,59.0,17.0
вас,49.0,41.0,41.0,38.0,41.0,56.0,46.0
этом,46.0,39.0,41.0,78.0,40.0,35.0,24.0
общагу,29.0,31.0,59.0,35.0,50.0,49.0,48.0
помочь,54.0,78.0,30.0,55.0,47.0,16.0,6.0
уже,35.0,45.0,28.0,48.0,46.0,21.0,56.0
рассказать,49.0,52.0,44.0,51.0,33.0,34.0,11.0
но,33.0,48.0,44.0,39.0,34.0,33.0,42.0
перевестись,39.0,43.0,38.0,47.0,43.0,38.0,24.0
вообще,37.0,37.0,31.0,53.0,42.0,40.0,26.0
курсе,47.0,40.0,44.0,53.0,37.0,25.0,20.0
от,30.0,33.0,42.0,33.0,42.0,42.0,44.0
получить,38.0,26.0,46.0,54.0,38.0,32.0,31.0
общежитие,32.0,25.0,63.0,45.0,39.0,23.0,37.0
курса,53.0,27.0,45.0,34.0,35.0,36.0,33.0
ктото,70.0,54.0,36.0,48.0,26.0,13.0,13.0
хочу,56.0,39.0,41.0,40.0,31.0,24.0,25.0
проходит,55.0,51.0,32.0,31.0,28.0,31.0,26.0
бы,48.0,48.0,46.0,26.0,28.0,31.0,25.0
можете,47.0,44.0,40.0,37.0,24.0,43.0,16.0
году,39.0,35.0,38.0,58.0,30.0,28.0,22.0
все,29.0,22.0,33.0,40.0,43.0,41.0,42.0
